equipo,prob_octavos,prob_campeon,ic95_low,ic95_high
France,0.9905,0.1008,0.0951,0.1069
Japan,0.9863,0.0528,0.0486,0.0574
Portugal,0.9841,0.0856,0.0803,0.0912
Spain,0.9819,0.1666,0.1594,0.174
South Korea,0.9805,0.0159,0.0136,0.0185
Germany,0.9773,0.0187,0.0162,0.0215
Netherlands,0.977,0.0553,0.051,0.06
Australia,0.9755,0.0189,0.0164,0.0218
Switzerland,0.9735,0.0175,0.0151,0.0203
Mexico,0.9674,0.0096,0.0079,0.0117
Argentina,0.9514,0.1046,0.0988,0.1108
England,0.9402,0.0521,0.0479,0.0566
Canada,0.9389,0.0067,0.0053,0.0085
Colombia,0.9204,0.0256,0.0227,0.0289
Belgium,0.9201,0.0294,0.0263,0.0329
Croatia,0.9158,0.0339,0.0305,0.0376
Brazil,0.9134,0.0441,0.0402,0.0483
Senegal,0.8734,0.0307,0.0275,0.0343
Morocco,0.8574,0.02,0.0174,0.0229
United States,0.8546,0.0045,0.0034,0.006
Norway,0.8476,0.0125,0.0105,0.0149
Ecuador,0.83,0.0074,0.0059,0.0093
Paraguay,0.8279,0.0048,0.0036,0.0064
Uruguay,0.82,0.0246,0.0217,0.0278
Iran,0.8071,0.0186,0.0161,0.0214
Qatar,0.7782,0.0016,0.001,0.0026
Uzbekistan,0.7615,0.0041,0.003,0.0056
Tunisia,0.7464,0.0032,0.0023,0.0045
Algeria,0.6967,0.008,0.0064,0.0099
Panama,0.681,0.0062,0.0048,0.0079
South Africa,0.6558,0.0004,0.0002,0.001
Austria,0.6479,0.0054,0.0041,0.007
Curaçao,0.6192,0.0,0.0,0.0004
Egypt,0.6156,0.0037,0.0027,0.0051
Scotland,0.5406,0.004,0.0029,0.0054
Haiti,0.3373,0.0001,0.0,0.0006
New Zealand,0.3371,0.0004,0.0002,0.001
Saudi Arabia,0.3327,0.0001,0.0,0.0006
Jordan,0.3226,0.0014,0.0008,0.0023
Cape_Verde,0.31,0.0002,0.0001,0.0007
Côte d’Ivoire,0.1889,0.0,0.0,0.0004
Ghana,0.1074,0.0,0.0,0.0004
UEFA_Playoff_D,0.0759,0.0,0.0,0.0004
UEFA_Playoff_A,0.071,0.0,0.0,0.0004
UEFA_Playoff_C,0.0665,0.0,0.0,0.0004
Interconf_Playoff_1,0.0373,0.0,0.0,0.0004
Interconf_Playoff_2,0.0314,0.0,0.0,0.0004
UEFA_Playoff_B,0.0268,0.0,0.0,0.0004
